label	msg
alt.atheism	 The argument goes as follows: Q-oid quotes appear in John, but not in the almost codified way they were in Matthew or Luke. However, they are considered to be similar enough to point to knowledge of Q as such, and not an entirely different source. 
alt.atheism	 It sounds to me like it's just SCREAMING OUT for parody. Give a copy to your friendly neighbourhood SubGenius preacher; with luck, he'll run it through the mental mincer and hand you back an outrageously offensive and gut-bustingly funny parody you can paste over the originals. 
alt.atheism	 No it didn't. The motto has been on various coins since the Civil War. It was just required to be on *all* currency in the 50's. 
alt.atheism	 It was no criticism of Islam for a change, it was a criticism of the arguments used. Namely, whenever people you identify as Muslims are the victims of the attacks of others, they are used an argument for the bad situation of Muslims. But whenever deeds by Muslim that victimize others are named, they do not count as an argument because what these people did was not done as a true Muslims. No mention is made how Muslims are the cause of a bad situation of another party. 
alt.atheism	 Nope, I've answered each question posed, and most were answered multiple times. 
alt.atheism	 Specifically, which changes are you talking about? Are you arguing that the motto is interpreted as offensive by a larger portion of the population now than 40 years ago? 
alt.atheism	 But, you wouldn't know what red *was*, and you certainly couldn't judge it subjectively. And, objectivity is not applicable, since you are wanting to discuss the merits of red. 
alt.atheism	 That's right, and this is pretty impossible, right? It would be ideal if we could believe for a while, just to try out religion, and only then determine which course of thought suits us best. But again, this is not possible. Not that religion warrants belief, but the belief carries with it some psychological benefits. There are also some psychological burdens, too. 
alt.atheism	 Yes, and everyone thinks as you do. No one thinks that he is going to cause or be involved in a fatal accident, but the likelihood is surprisingly high. Just because you are the man on the firing squad whose gun is shooting blanks does not mean that you are less guilty. 
alt.atheism	 Are we talking about me, or the majority of the people that support it? Anyway, I think that "revenge" or "fairness" is why most people are in favor of the punishment. If a murderer is going to be punished, people that think that he should "get what he deserves." Most people wouldn't think it would be fair for the murderer to live, while his victim died. 
alt.atheism	 Why are only those people in favor of the system to blame. If society accepts such a system, then each member of society is to blame when an innocent person gets executed. Those that are not in favor should work to convince others. 
alt.atheism	 I answer from the position that we would indeed place these people in prison for life. 
alt.atheism	 Computers are an excellent example...of evolution without "a" creator. We did not "create" computers. We did not create the sand that goes into the silicon that goes into the integrated circuits that go into processor board. We took these things and put them together in an interesting way. Just like plants "create" oxygen using light through photosynthesis. It's a much bigger leap to talk about something that created "everything" from nothing. I find it unfathomable to resort to believing in a creator when a much simpler alternative exists: we simply are incapable of understanding our beginnings -- if there even were beginnings at all. And that's ok with me. The present keeps me perfectly busy. 
alt.atheism	 This is a classic example of excessive faith in reason. The fact that we have trouble talking about something doesn't imply that it is impossible; it simply implies that it is hard to talk about. There is a very good chance that God *can* flibble glop ork groink. Charlie Wingate can flibble glop ork groink, and he isn't even God. 
alt.atheism	 Well, I've said that when an innocent person has been executed, this is objectively a murder. However, who is at blame is another question. It seems that the entire society that sanctions any sorts of executions-- realizing the risks--is to blame. 
alt.atheism	 It only falls apart if you attempt to apply it. This doesn't mean that an objective system can't exist. It just means that one cannot be implemented. 
alt.atheism	 There is an easy way out.... Post the flyers on the stall doors, but add at the bottom, in nice large capitals, 
alt.atheism	 I found the same add in our local Sunday newspaper. The add was placed in the ..... cartoon section! The perfect place for it ! :-) 
alt.atheism	 And doubtless, when an atheist does an act of charity they temporarily become a Baptist. 
alt.atheism	 I pondered it for all of ten seconds when I realised that since we don't have any reliable statistics for sexual promiscuity, and since the whole issue of "depression" isn't at all well defined for earlier centuries, you are probably talking crap. 
alt.atheism	 Ok, this is the only thing I will comment on from Stan at this time... part of this forum we call rec.scouting is for policy discussions and related topics. This is a policy discussion, and involves related topics. this is not a "fringe" group discussion. obviously, it engenders strong feelings from all sides of the issues at hand. Wether a particular view is anti-societal or not is your opinion, and yours alone, don't try to make it seem otherwise. If you do not wish to engage in this discussion, use a kill file. If you wish to continue in this discussion, please do so, knowing full well the implications that apply. I know for myself that I plan on continuing with the discussion when i have the wish to have input. I for one am tired of people trying to say that this is not a matter significant for this group! It is, and quite so. Especially for those of us who feel the impact more closely. 
alt.atheism	 Not so. If you are thrown into a cage with a tiger and get mauled, do you blame the tiger? 
alt.atheism	 Sorry, I don't follow your reasoning. You are proposing to punish people *before* they commit a crime? What justification do you have for this? 
alt.atheism	 A new alternative to Scouting for those "unacceptable to BSA" for reasons of religious or sexual preference: 
alt.atheism	 I wonder how many atheists out there care to speculate on the face of the world if atheists were the majority rather than the minority group of the population. It is rather a ridiculous question in some ways, I know, but my newsreader is down so I am not getting any new postings for a bit, so I figure I might as well post something new myself. 
alt.atheism	 There are definitely quite a few horrible deaths as the result of both atheists AND theists. I'm sure Bobby can list quite a few for the atheist side but fails to recognize that the theists are equally proficient at genocide. Perhaps, since I'm a bit weak on history, somone here would like to give a list of wars caused/led by theists? I can think of a few (Hitler claimed to be a Christian for example) but a more complete list would probably be more effective in showing Bobby just how absurd his statement is. 
alt.atheism	 There is also the question of what is meant by "atheist". A familiar example of the importance of the meaning of the word is as follows. 
alt.atheism	 As I was created in the image of Gaea, therefore I must be the pinnacle of creation, She which Creates, She which Births, She which Continues. 
alt.atheism	 Uh oh. This looks a bit too much like Bobby's "Atheism Is False" stuff. Are we really going to have to go through this again? Maybe the universe is cyclical! :) :( 
alt.atheism	 I assume that you are talking about the appeals processes, etc.? Well, it should be noted that people who are imprisoned for life will also tend to appeal (though not quite as much in the "final hours." 
alt.atheism	 My mistake. I will have to get a newer dictionary and read the follow up line. 
